tmdb_id,tmdb_fetch_status,tmdb_title,tmdb_release_date,tmdb_original_language,tmdb_popularity,tmdb_budget,tmdb_revenue,tmdb_status,tmdb_vote_average,tmdb_vote_count,tmdb_primary_company,tmdb_primary_country
9560,ok,A Walk in the Clouds,1995-05-27,en,5.1572,20000000,50012507,Released,7.372,1119,Zucker Brothers Productions,United States of America
9804,ok,Waterworld,1995-07-28,en,7.3048,175000000,264218220,Released,6.226,4053,Gordon Company,United States of America
76,ok,Before Sunrise,1995-01-27,en,8.5388,2500000,5987386,Released,7.974,4654,Castle Rock Entertainment,Austria
11017,ok,Billy Madison,1995-02-10,en,3.3887,10000000,26488734,Released,6.196,1789,Jack Giarraputo Productions,United States of America
2292,ok,Clerks,1994-10-19,en,3.4632,27575,3158707,Released,7.38,2743,View Askew Productions,United States of America
1909,ok,Don Juan DeMarco,1994-10-12,en,2.701,25000000,68792531,Released,6.745,799,American Zoetrope,United States of America
8984,ok,Disclosure,1994-12-09,en,3.9182,55000000,214015089,Released,6.245,1265,Baltimore Pictures,United States of America
4954,ok,Drop Zone,1994-12-08,en,4.118,45000000,62000000,Released,5.711,452,Paramount Pictures,United States of America
11929,ok,Dolores Claiborne,1995-03-24,en,3.5864,13000000,46400000,Released,7.3,868,Castle Rock Entertainment,United States of America
8467,ok,Dumb and Dumber,1994-12-16,en,9.7623,16000000,247275374,Released,6.7,6684,New Line Cinema,United States of America
522,ok,Ed Wood,1994-09-28,en,3.0364,18000000,5900000,Released,7.484,2505,Touchstone Pictures,United States of America
397,ok,French Kiss,1995-05-05,en,2.6335,0,101982854,Released,6.474,793,PolyGram Filmed Entertainment,United Kingdom
10525,ok,Forget Paris,1995-05-19,en,2.4874,0,33177694,Released,6.317,161,Castle Rock Entertainment,United States of America
14275,ok,Hoop Dreams,1994-09-12,en,1.2274,700000,7830611,Released,7.576,330,Fine Line Features,United States of America
1024,ok,Heavenly Creatures,1994-09-12,en,2.8724,5000000,3049135,Released,6.972,1028,WingNut Films,New Zealand
11777,ok,I.Q.,1994-12-24,en,2.2568,25000000,26381221,Released,6.022,488,Paramount Pictures,United States of America
628,ok,Interview with the Vampire,1994-11-11,en,8.1588,60000000,223664608,Released,7.387,6391,Geffen Pictures,United States of America
6280,ok,Junior,1994-11-22,en,2.9851,60000000,108400000,Released,5.186,1629,Northern Lights Entertainment,United States of America
11,ok,Star Wars,1977-05-25,en,26.3686,11000000,775398007,Released,8.2,22219,Lucasfilm Ltd.,United States of America
9587,ok,Little Women,1994-12-21,en,5.8732,18000000,94983123,Released,7.275,1338,Di Novi Pictures,United States of America
19101,ok,A Little Princess,1995-05-10,en,3.1661,17000000,10000000,Released,7.617,1031,Warner Bros. Pictures,United States of America
